Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-FixedRot,braintumor,2x2,8.106,0.347,0.98,0.653
AQIR-Deep,braintumor,2x2,36.909,0.831,0.98,0.169
AQIR-ADS,braintumor,4x4,28.872,0.937,0.887,0.063
AQIR-NoGrad,braintumor,4x4,31.777,0.958,0.887,0.042
AQIR-FixedRot,braintumor,4x4,7.703,0.078,0.887,0.922
AQIR-Deep,braintumor,4x4,23.617,0.699,0.887,0.301
AQIR-ADS,mrifnl,2x2,45.7,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,54.151,0.998,0.98,0.002
AQIR-FixedRot,mrifnl,2x2,8.502,0.376,0.98,0.624
AQIR-Deep,mrifnl,2x2,34.806,0.881,0.98,0.119
AQIR-ADS,mrifnl,4x4,31.066,0.963,0.887,0.037
AQIR-NoGrad,mrifnl,4x4,30.492,0.956,0.887,0.044
AQIR-FixedRot,mrifnl,4x4,8.041,0.124,0.887,0.876
AQIR-Deep,mrifnl,4x4,27.514,0.915,0.887,0.085
AQIR-ADS,mrifnl,2x2,54.151,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,44.151,0.962,0.98,0.038
AQIR-FixedRot,mrifnl,2x2,7.895,0.353,0.98,0.647
AQIR-Deep,mrifnl,2x2,47.162,0.98,0.98,0.02
AQIR-ADS,mrifnl,4x4,30.142,0.938,0.887,0.062
AQIR-NoGrad,mrifnl,4x4,31.892,0.942,0.887,0.058
AQIR-FixedRot,mrifnl,4x4,7.538,0.1,0.887,0.9
AQIR-Deep,mrifnl,4x4,28.625,0.873,0.887,0.127
AQIR-ADS,mrifnl,2x2,40.727,0.951,0.98,0.049
AQIR-NoGrad,mrifnl,2x2,41.847,0.977,0.98,0.023
AQIR-FixedRot,mrifnl,2x2,7.301,0.239,0.98,0.761
AQIR-Deep,mrifnl,2x2,40.534,0.958,0.98,0.042
AQIR-ADS,mrifnl,4x4,31.179,0.937,0.887,0.063
AQIR-NoGrad,mrifnl,4x4,31.765,0.935,0.887,0.065
AQIR-FixedRot,mrifnl,4x4,7.607,0.037,0.887,0.963
AQIR-Deep,mrifnl,4x4,27.166,0.825,0.887,0.175
AQIR-ADS,mrifnl,2x2,41.599,0.946,0.98,0.054
AQIR-NoGrad,mrifnl,2x2,42.39,0.975,0.98,0.025
AQIR-FixedRot,mrifnl,2x2,8.52,0.327,0.98,0.673
AQIR-Deep,mrifnl,2x2,38.711,0.926,0.98,0.074
AQIR-ADS,mrifnl,4x4,29.649,0.956,0.887,0.044
AQIR-NoGrad,mrifnl,4x4,30.914,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,8.293,-0.0,0.887,1.0
AQIR-Deep,mrifnl,4x4,27.531,0.925,0.887,0.075
AQIR-ADS,mrifnl,2x2,49.38,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,47.162,0.989,0.98,0.011
AQIR-FixedRot,mrifnl,2x2,8.022,0.368,0.98,0.632
AQIR-Deep,mrifnl,2x2,36.827,0.93,0.98,0.07
AQIR-ADS,mrifnl,4x4,30.469,0.936,0.887,0.064
AQIR-NoGrad,mrifnl,4x4,33.122,0.963,0.887,0.037
AQIR-FixedRot,mrifnl,4x4,7.453,-0.002,0.887,1.002
AQIR-Deep,mrifnl,4x4,24.24,0.761,0.887,0.239
AQIR-ADS,mrifnl,2x2,46.37,0.978,0.98,0.022
AQIR-NoGrad,mrifnl,2x2,44.151,0.978,0.98,0.022
AQIR-FixedRot,mrifnl,2x2,8.481,0.383,0.98,0.617
AQIR-Deep,mrifnl,2x2,40.534,0.918,0.98,0.082
AQIR-ADS,mrifnl,4x4,27.238,0.948,0.887,0.052
AQIR-NoGrad,mrifnl,4x4,29.846,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,7.881,0.036,0.887,0.964
AQIR-Deep,mrifnl,4x4,26.41,0.938,0.887,0.062
AQIR-ADS,mrifnl,2x2,44.609,0.983,0.98,0.017
AQIR-NoGrad,mrifnl,2x2,43.36,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,8.1,0.288,0.98,0.712
AQIR-Deep,mrifnl,2x2,47.162,0.993,0.98,0.007
AQIR-ADS,mrifnl,4x4,30.654,0.96,0.887,0.04
AQIR-NoGrad,mrifnl,4x4,31.109,0.958,0.887,0.042
AQIR-FixedRot,mrifnl,4x4,7.881,-0.017,0.887,1.017
AQIR-Deep,mrifnl,4x4,26.551,0.866,0.887,0.134
AQIR-ADS,mrifnl,2x2,44.609,0.988,0.98,0.012
AQIR-NoGrad,mrifnl,2x2,41.141,0.957,0.98,0.043
AQIR-FixedRot,mrifnl,2x2,8.305,0.41,0.98,0.59
AQIR-Deep,mrifnl,2x2,40.727,0.947,0.98,0.053
AQIR-ADS,mrifnl,4x4,28.096,0.932,0.887,0.068
AQIR-NoGrad,mrifnl,4x4,29.668,0.938,0.887,0.062
AQIR-FixedRot,mrifnl,4x4,8.075,0.01,0.887,0.99
AQIR-Deep,mrifnl,4x4,29.161,0.941,0.887,0.059
AQIR-ADS,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,43.012,0.974,0.98,0.026
AQIR-FixedRot,mrifnl,2x2,8.173,0.391,0.98,0.609
AQIR-Deep,mrifnl,2x2,37.524,0.844,0.98,0.156
AQIR-ADS,mrifnl,4x4,31.611,0.959,0.887,0.041
AQIR-NoGrad,mrifnl,4x4,30.842,0.949,0.887,0.051
AQIR-FixedRot,mrifnl,4x4,7.764,0.077,0.887,0.923
AQIR-Deep,mrifnl,4x4,27.834,0.896,0.887,0.104
AQIR-ADS,mrifnl,2x2,46.37,0.981,0.98,0.019
AQIR-NoGrad,mrifnl,2x2,43.737,0.981,0.98,0.019
AQIR-FixedRot,mrifnl,2x2,8.327,0.394,0.98,0.606
AQIR-Deep,mrifnl,2x2,40.002,0.992,0.98,0.008
AQIR-ADS,mrifnl,4x4,29.878,0.95,0.887,0.05
AQIR-NoGrad,mrifnl,4x4,31.474,0.96,0.887,0.04
AQIR-FixedRot,mrifnl,4x4,8.266,-0.023,0.887,1.023
AQIR-Deep,mrifnl,4x4,25.545,0.884,0.887,0.116
AQIR-ADS,mrifnl,2x2,44.151,0.968,0.98,0.032
AQIR-NoGrad,mrifnl,2x2,45.7,0.982,0.98,0.018
AQIR-FixedRot,mrifnl,2x2,8.282,0.398,0.98,0.602
AQIR-Deep,mrifnl,2x2,40.727,0.975,0.98,0.025
AQIR-ADS,mrifnl,4x4,30.95,0.958,0.887,0.042
AQIR-NoGrad,mrifnl,4x4,28.291,0.908,0.887,0.092
AQIR-FixedRot,mrifnl,4x4,8.071,0.119,0.887,0.881
AQIR-Deep,mrifnl,4x4,26.158,0.89,0.887,0.11
AQIR-ADS,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-NoGrad,mrifnl,2x2,42.39,0.971,0.98,0.029
AQIR-FixedRot,mrifnl,2x2,8.304,0.394,0.98,0.606
AQIR-Deep,mrifnl,2x2,40.727,0.919,0.98,0.081
AQIR-ADS,mrifnl,4x4,28.158,0.931,0.887,0.069
AQIR-NoGrad,mrifnl,4x4,29.927,0.937,0.887,0.063
AQIR-FixedRot,mrifnl,4x4,7.925,0.029,0.887,0.971
AQIR-Deep,mrifnl,4x4,25.621,0.863,0.887,0.137
AQIR-ADS,mrifnl,2x2,49.38,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,49.38,0.988,0.98,0.012
AQIR-FixedRot,mrifnl,2x2,7.204,0.229,0.98,0.771
AQIR-Deep,mrifnl,2x2,38.469,0.954,0.98,0.046
AQIR-ADS,mrifnl,4x4,31.24,0.891,0.887,0.109
AQIR-NoGrad,mrifnl,4x4,30.142,0.854,0.887,0.146
AQIR-FixedRot,mrifnl,4x4,6.938,0.063,0.887,0.937
AQIR-Deep,mrifnl,4x4,25.067,0.659,0.887,0.341
AQIR-ADS,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,mrifnl,2x2,7.726,0.315,0.98,0.685
AQIR-Deep,mrifnl,2x2,43.012,0.949,0.98,0.051
AQIR-ADS,mrifnl,4x4,29.846,0.951,0.887,0.049
AQIR-NoGrad,mrifnl,4x4,27.319,0.894,0.887,0.106
AQIR-FixedRot,mrifnl,4x4,7.89,0.063,0.887,0.937
AQIR-Deep,mrifnl,4x4,24.052,0.808,0.887,0.192
AQIR-ADS,mrifnl,2x2,42.39,0.952,0.98,0.048
AQIR-NoGrad,mrifnl,2x2,49.38,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,7.644,0.293,0.98,0.707
AQIR-Deep,mrifnl,2x2,34.609,0.899,0.98,0.101
AQIR-ADS,mrifnl,4x4,27.96,0.909,0.887,0.091
AQIR-NoGrad,mrifnl,4x4,33.858,0.974,0.887,0.026
AQIR-FixedRot,mrifnl,4x4,7.632,0.052,0.887,0.948
AQIR-Deep,mrifnl,4x4,26.383,0.865,0.887,0.135
AQIR-ADS,mrifnl,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,mrifnl,2x2,44.609,0.973,0.98,0.027
AQIR-FixedRot,mrifnl,2x2,8.417,0.446,0.98,0.554
AQIR-Deep,mrifnl,2x2,41.847,0.94,0.98,0.06
AQIR-ADS,mrifnl,4x4,29.362,0.938,0.887,0.062
AQIR-NoGrad,mrifnl,4x4,32.913,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,8.41,0.132,0.887,0.868
AQIR-Deep,mrifnl,4x4,22.751,0.756,0.887,0.244
AQIR-ADS,mrifnl,2x2,43.36,0.963,0.98,0.037
AQIR-NoGrad,mrifnl,2x2,46.37,0.981,0.98,0.019
AQIR-FixedRot,mrifnl,2x2,8.193,0.358,0.98,0.642
AQIR-Deep,mrifnl,2x2,35.956,0.843,0.98,0.157
AQIR-ADS,mrifnl,4x4,27.862,0.917,0.887,0.083
AQIR-NoGrad,mrifnl,4x4,28.711,0.896,0.887,0.104
AQIR-FixedRot,mrifnl,4x4,7.775,-0.059,0.887,1.059
AQIR-Deep,mrifnl,4x4,23.667,0.772,0.887,0.228
AQIR-ADS,mrifnl,2x2,51.141,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,43.737,0.985,0.98,0.015
AQIR-FixedRot,mrifnl,2x2,7.7,0.252,0.98,0.748
AQIR-Deep,mrifnl,2x2,41.847,0.956,0.98,0.044
AQIR-ADS,mrifnl,4x4,33.217,0.976,0.887,0.024
AQIR-NoGrad,mrifnl,4x4,34.514,0.98,0.887,0.02
AQIR-FixedRot,mrifnl,4x4,7.687,0.021,0.887,0.979
AQIR-Deep,mrifnl,4x4,24.108,0.842,0.887,0.158
AQIR-ADS,mrifnl,2x2,44.151,0.967,0.98,0.033
AQIR-NoGrad,mrifnl,2x2,44.609,0.974,0.98,0.026
AQIR-FixedRot,mrifnl,2x2,8.46,0.405,0.98,0.595
AQIR-Deep,mrifnl,2x2,40.002,0.919,0.98,0.081
AQIR-ADS,mrifnl,4x4,31.491,0.969,0.887,0.031
AQIR-NoGrad,mrifnl,4x4,29.573,0.939,0.887,0.061
AQIR-FixedRot,mrifnl,4x4,8.01,0.056,0.887,0.944
AQIR-Deep,mrifnl,4x4,26.397,0.874,0.887,0.126
AQIR-ADS,mrifnl,2x2,46.37,0.986,0.98,0.014
AQIR-NoGrad,mrifnl,2x2,46.37,0.987,0.98,0.013
AQIR-FixedRot,mrifnl,2x2,8.124,0.321,0.98,0.679
AQIR-Deep,mrifnl,2x2,41.364,0.946,0.98,0.054
AQIR-ADS,mrifnl,4x4,30.639,0.95,0.887,0.05
AQIR-NoGrad,mrifnl,4x4,32.01,0.964,0.887,0.036
AQIR-FixedRot,mrifnl,4x4,7.965,-0.002,0.887,1.002
AQIR-Deep,mrifnl,4x4,27.804,0.907,0.887,0.093
AQIR-ADS,mrifnl,2x2,44.151,0.975,0.98,0.025
AQIR-NoGrad,mrifnl,2x2,41.141,0.955,0.98,0.045
AQIR-FixedRot,mrifnl,2x2,8.195,0.401,0.98,0.599
AQIR-Deep,mrifnl,2x2,38.837,0.905,0.98,0.095
AQIR-ADS,mrifnl,4x4,29.85,0.909,0.887,0.091
AQIR-NoGrad,mrifnl,4x4,29.483,0.888,0.887,0.112
AQIR-FixedRot,mrifnl,4x4,8.263,0.148,0.887,0.852
AQIR-Deep,mrifnl,4x4,26.245,0.86,0.887,0.14
AQIR-ADS,mrifnl,2x2,42.39,0.986,0.98,0.014
AQIR-NoGrad,mrifnl,2x2,46.37,0.991,0.98,0.009
AQIR-FixedRot,mrifnl,2x2,8.044,0.377,0.98,0.623
AQIR-Deep,mrifnl,2x2,38.469,0.864,0.98,0.136
AQIR-ADS,mrifnl,4x4,29.398,0.929,0.887,0.071
AQIR-NoGrad,mrifnl,4x4,31.071,0.934,0.887,0.066
AQIR-FixedRot,mrifnl,4x4,7.915,0.085,0.887,0.915
AQIR-Deep,mrifnl,4x4,24.392,0.781,0.887,0.219
AQIR-ADS,mrifnl,2x2,42.69,0.978,0.98,0.022
AQIR-NoGrad,mrifnl,2x2,46.37,0.98,0.98,0.02
AQIR-FixedRot,mrifnl,2x2,8.172,0.376,0.98,0.624
AQIR-Deep,mrifnl,2x2,40.929,0.963,0.98,0.037
AQIR-ADS,mrifnl,4x4,31.815,0.972,0.887,0.028
AQIR-NoGrad,mrifnl,4x4,32.248,0.964,0.887,0.036
AQIR-FixedRot,mrifnl,4x4,8.106,-0.018,0.887,1.018
AQIR-Deep,mrifnl,4x4,26.581,0.915,0.887,0.085
AQIR-ADS,mrifnl,2x2,44.151,0.975,0.98,0.025
AQIR-NoGrad,mrifnl,2x2,48.131,0.988,0.98,0.012
AQIR-FixedRot,mrifnl,2x2,8.328,0.422,0.98,0.578
AQIR-Deep,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,mrifnl,4x4,26.829,0.933,0.887,0.067
AQIR-NoGrad,mrifnl,4x4,33.148,0.981,0.887,0.019
AQIR-FixedRot,mrifnl,4x4,7.837,0.055,0.887,0.945
AQIR-Deep,mrifnl,4x4,25.072,0.88,0.887,0.12
AQIR-ADS,mrifnl,2x2,51.141,0.994,0.98,0.006
AQIR-NoGrad,mrifnl,2x2,51.141,0.997,0.98,0.003
AQIR-FixedRot,mrifnl,2x2,8.169,0.345,0.98,0.655
AQIR-Deep,mrifnl,2x2,44.151,0.981,0.98,0.019
AQIR-ADS,mrifnl,4x4,31.245,0.966,0.887,0.034
AQIR-NoGrad,mrifnl,4x4,29.387,0.948,0.887,0.052
AQIR-FixedRot,mrifnl,4x4,8.134,0.082,0.887,0.918
AQIR-Deep,mrifnl,4x4,26.345,0.912,0.887,0.088
AQIR-ADS,mrifnl,2x2,47.162,0.99,0.98,0.01
AQIR-NoGrad,mrifnl,2x2,47.162,0.985,0.98,0.015
AQIR-FixedRot,mrifnl,2x2,8.105,0.332,0.98,0.668
AQIR-Deep,mrifnl,2x2,37.817,0.953,0.98,0.047
AQIR-ADS,mrifnl,4x4,27.216,0.912,0.887,0.088
AQIR-NoGrad,mrifnl,4x4,29.762,0.944,0.887,0.056
AQIR-FixedRot,mrifnl,4x4,7.783,0.0,0.887,1.0
AQIR-Deep,mrifnl,4x4,28.183,0.929,0.887,0.071
AQIR-ADS,mrifnl,2x2,43.36,0.991,0.98,0.009
AQIR-NoGrad,mrifnl,2x2,41.141,0.969,0.98,0.031
AQIR-FixedRot,mrifnl,2x2,8.37,0.391,0.98,0.609
AQIR-Deep,mrifnl,2x2,37.919,0.887,0.98,0.113
AQIR-ADS,mrifnl,4x4,28.758,0.927,0.887,0.073
AQIR-NoGrad,mrifnl,4x4,33.36,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,7.774,0.026,0.887,0.974
AQIR-Deep,mrifnl,4x4,26.309,0.858,0.887,0.142
AQIR-ADS,mrifnl,2x2,43.36,0.971,0.98,0.029
AQIR-NoGrad,mrifnl,2x2,43.737,0.981,0.98,0.019
AQIR-FixedRot,mrifnl,2x2,7.766,0.312,0.98,0.688
AQIR-Deep,mrifnl,2x2,46.37,0.98,0.98,0.02
AQIR-ADS,mrifnl,4x4,31.847,0.956,0.887,0.044
AQIR-NoGrad,mrifnl,4x4,32.063,0.949,0.887,0.051
AQIR-FixedRot,mrifnl,4x4,7.529,0.11,0.887,0.89
AQIR-Deep,mrifnl,4x4,26.1,0.816,0.887,0.184
AQIR-ADS,mrifnl,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,mrifnl,2x2,44.609,0.975,0.98,0.025
AQIR-FixedRot,mrifnl,2x2,7.789,0.337,0.98,0.663
AQIR-Deep,mrifnl,2x2,39.38,0.92,0.98,0.08
AQIR-ADS,mrifnl,4x4,32.158,0.964,0.887,0.036
AQIR-NoGrad,mrifnl,4x4,31.296,0.948,0.887,0.052
AQIR-FixedRot,mrifnl,4x4,7.565,0.073,0.887,0.927
AQIR-Deep,mrifnl,4x4,23.764,0.815,0.887,0.185
AQIR-ADS,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-NoGrad,mrifnl,2x2,48.131,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,8.321,0.321,0.98,0.679
AQIR-Deep,mrifnl,2x2,44.609,0.973,0.98,0.027
AQIR-ADS,mrifnl,4x4,29.944,0.958,0.887,0.042
AQIR-NoGrad,mrifnl,4x4,30.63,0.959,0.887,0.041
AQIR-FixedRot,mrifnl,4x4,8.104,0.064,0.887,0.936
AQIR-Deep,mrifnl,4x4,24.546,0.853,0.887,0.147
AQIR-ADS,mrifnl,2x2,45.7,0.984,0.98,0.016
AQIR-NoGrad,mrifnl,2x2,48.131,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,8.611,0.327,0.98,0.673
AQIR-Deep,mrifnl,2x2,39.68,0.948,0.98,0.052
AQIR-ADS,mrifnl,4x4,31.023,0.968,0.887,0.032
AQIR-NoGrad,mrifnl,4x4,29.77,0.956,0.887,0.044
AQIR-FixedRot,mrifnl,4x4,8.104,-0.039,0.887,1.039
AQIR-Deep,mrifnl,4x4,25.598,0.912,0.887,0.088
AQIR-ADS,mrifnl,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,mrifnl,2x2,47.162,0.98,0.98,0.02
AQIR-FixedRot,mrifnl,2x2,7.937,0.371,0.98,0.629
AQIR-Deep,mrifnl,2x2,44.609,0.963,0.98,0.037
AQIR-ADS,mrifnl,4x4,29.746,0.927,0.887,0.073
AQIR-NoGrad,mrifnl,4x4,28.616,0.894,0.887,0.106
AQIR-FixedRot,mrifnl,4x4,7.918,0.002,0.887,0.998
AQIR-Deep,mrifnl,4x4,24.608,0.832,0.887,0.168
AQIR-ADS,mrifnl,2x2,47.162,0.98,0.98,0.02
AQIR-NoGrad,mrifnl,2x2,41.599,0.93,0.98,0.07
AQIR-FixedRot,mrifnl,2x2,7.769,0.332,0.98,0.668
AQIR-Deep,mrifnl,2x2,38.711,0.972,0.98,0.028
AQIR-ADS,mrifnl,4x4,29.175,0.896,0.887,0.104
AQIR-NoGrad,mrifnl,4x4,32.486,0.947,0.887,0.053
AQIR-FixedRot,mrifnl,4x4,7.431,0.105,0.887,0.895
AQIR-Deep,mrifnl,4x4,24.241,0.733,0.887,0.267
AQIR-ADS,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,47.162,0.98,0.98,0.02
AQIR-FixedRot,mrifnl,2x2,7.686,0.326,0.98,0.674
AQIR-Deep,mrifnl,2x2,44.609,0.987,0.98,0.013
AQIR-ADS,mrifnl,4x4,31.06,0.941,0.887,0.059
AQIR-NoGrad,mrifnl,4x4,29.554,0.899,0.887,0.101
AQIR-FixedRot,mrifnl,4x4,7.387,0.011,0.887,0.989
AQIR-Deep,mrifnl,4x4,24.944,0.75,0.887,0.25
AQIR-ADS,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-NoGrad,mrifnl,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,mrifnl,2x2,7.686,0.33,0.98,0.67
AQIR-Deep,mrifnl,2x2,44.609,0.973,0.98,0.027
AQIR-ADS,mrifnl,4x4,28.196,0.921,0.887,0.079
AQIR-NoGrad,mrifnl,4x4,30.413,0.941,0.887,0.059
AQIR-FixedRot,mrifnl,4x4,7.78,0.13,0.887,0.87
AQIR-Deep,mrifnl,4x4,27.564,0.867,0.887,0.133
AQIR-ADS,mrifnl,2x2,49.38,0.99,0.98,0.01
AQIR-NoGrad,mrifnl,2x2,46.37,0.981,0.98,0.019
AQIR-FixedRot,mrifnl,2x2,8.107,0.367,0.98,0.633
AQIR-Deep,mrifnl,2x2,43.36,0.953,0.98,0.047
AQIR-ADS,mrifnl,4x4,29.77,0.946,0.887,0.054
AQIR-NoGrad,mrifnl,4x4,32.538,0.966,0.887,0.034
AQIR-FixedRot,mrifnl,4x4,7.773,0.104,0.887,0.896
AQIR-Deep,mrifnl,4x4,25.94,0.863,0.887,0.137
AQIR-ADS,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-NoGrad,mrifnl,2x2,44.151,0.98,0.98,0.02
AQIR-FixedRot,mrifnl,2x2,9.789,0.453,0.98,0.547
AQIR-Deep,mrifnl,2x2,39.38,0.984,0.98,0.016
AQIR-ADS,mrifnl,4x4,28.761,0.961,0.887,0.039
AQIR-NoGrad,mrifnl,4x4,31.218,0.968,0.887,0.032
AQIR-FixedRot,mrifnl,4x4,9.469,0.075,0.887,0.925
AQIR-Deep,mrifnl,4x4,25.685,0.914,0.887,0.086
AQIR-ADS,mrifnl,2x2,44.151,0.967,0.98,0.033
AQIR-NoGrad,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-FixedRot,mrifnl,2x2,8.64,0.416,0.98,0.584
AQIR-Deep,mrifnl,2x2,38.966,0.895,0.98,0.105
AQIR-ADS,mrifnl,4x4,30.377,0.951,0.887,0.049
AQIR-NoGrad,mrifnl,4x4,32.185,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,8.741,0.021,0.887,0.979
AQIR-Deep,mrifnl,4x4,22.603,0.819,0.887,0.181
AQIR-ADS,mrifnl,2x2,47.162,0.99,0.98,0.01
AQIR-NoGrad,mrifnl,2x2,45.7,0.982,0.98,0.018
AQIR-FixedRot,mrifnl,2x2,9.386,0.518,0.98,0.482
AQIR-Deep,mrifnl,2x2,36.593,0.805,0.98,0.195
AQIR-ADS,mrifnl,4x4,29.565,0.947,0.887,0.053
AQIR-NoGrad,mrifnl,4x4,30.34,0.955,0.887,0.045
AQIR-FixedRot,mrifnl,4x4,9.206,0.037,0.887,0.963
AQIR-Deep,mrifnl,4x4,21.946,0.709,0.887,0.291
AQIR-ADS,mrifnl,2x2,49.38,0.991,0.98,0.009
AQIR-NoGrad,mrifnl,2x2,45.7,0.985,0.98,0.015
AQIR-FixedRot,mrifnl,2x2,8.99,0.407,0.98,0.593
AQIR-Deep,mrifnl,2x2,46.37,0.984,0.98,0.016
AQIR-ADS,mrifnl,4x4,31.684,0.969,0.887,0.031
AQIR-NoGrad,mrifnl,4x4,30.103,0.947,0.887,0.053
AQIR-FixedRot,mrifnl,4x4,8.604,0.115,0.887,0.885
AQIR-Deep,mrifnl,4x4,24.746,0.881,0.887,0.119
AQIR-ADS,mrifnl,2x2,45.7,0.993,0.98,0.007
AQIR-NoGrad,mrifnl,2x2,47.162,0.994,0.98,0.006
AQIR-FixedRot,mrifnl,2x2,8.618,0.133,0.98,0.867
AQIR-Deep,mrifnl,2x2,37.919,0.961,0.98,0.039
AQIR-ADS,mrifnl,4x4,27.234,0.935,0.887,0.065
AQIR-NoGrad,mrifnl,4x4,31.13,0.967,0.887,0.033
AQIR-FixedRot,mrifnl,4x4,8.31,-0.017,0.887,1.017
AQIR-Deep,mrifnl,4x4,24.547,0.886,0.887,0.114
AQIR-ADS,mrifnl,2x2,51.141,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,48.131,0.994,0.98,0.006
AQIR-FixedRot,mrifnl,2x2,8.369,0.232,0.98,0.768
AQIR-Deep,mrifnl,2x2,44.151,0.984,0.98,0.016
AQIR-ADS,mrifnl,4x4,30.044,0.962,0.887,0.038
AQIR-NoGrad,mrifnl,4x4,28.505,0.939,0.887,0.061
AQIR-FixedRot,mrifnl,4x4,8.243,0.046,0.887,0.954
AQIR-Deep,mrifnl,4x4,27.153,0.932,0.887,0.068
AQIR-ADS,mrifnl,2x2,44.609,0.981,0.98,0.019
AQIR-NoGrad,mrifnl,2x2,44.609,0.993,0.98,0.007
AQIR-FixedRot,mrifnl,2x2,9.398,0.359,0.98,0.641
AQIR-Deep,mrifnl,2x2,44.609,0.98,0.98,0.02
AQIR-ADS,mrifnl,4x4,29.308,0.969,0.887,0.031
AQIR-NoGrad,mrifnl,4x4,29.798,0.965,0.887,0.035
AQIR-FixedRot,mrifnl,4x4,9.027,0.042,0.887,0.958
AQIR-Deep,mrifnl,4x4,23.894,0.91,0.887,0.09
AQIR-ADS,mrifnl,2x2,44.609,0.99,0.98,0.01
AQIR-NoGrad,mrifnl,2x2,48.131,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,8.084,0.342,0.98,0.658
AQIR-Deep,mrifnl,2x2,38.354,0.919,0.98,0.081
AQIR-ADS,mrifnl,4x4,29.323,0.968,0.887,0.032
AQIR-NoGrad,mrifnl,4x4,30.45,0.974,0.887,0.026
AQIR-FixedRot,mrifnl,4x4,7.289,-0.03,0.887,1.03
AQIR-Deep,mrifnl,4x4,23.729,0.891,0.887,0.109
AQIR-ADS,mrifnl,2x2,47.162,0.994,0.98,0.006
AQIR-NoGrad,mrifnl,2x2,44.151,0.997,0.98,0.003
AQIR-FixedRot,mrifnl,2x2,9.497,0.363,0.98,0.637
AQIR-Deep,mrifnl,2x2,45.7,0.991,0.98,0.009
AQIR-ADS,mrifnl,4x4,28.431,0.962,0.887,0.038
AQIR-NoGrad,mrifnl,4x4,32.199,0.973,0.887,0.027
AQIR-FixedRot,mrifnl,4x4,9.219,0.11,0.887,0.89
AQIR-Deep,mrifnl,4x4,27.093,0.926,0.887,0.074
AQIR-ADS,mrifnl,2x2,46.37,0.989,0.98,0.011
AQIR-NoGrad,mrifnl,2x2,47.162,0.994,0.98,0.006
AQIR-FixedRot,mrifnl,2x2,9.526,0.398,0.98,0.602
AQIR-Deep,mrifnl,2x2,46.37,0.995,0.98,0.005
AQIR-ADS,mrifnl,4x4,28.582,0.946,0.887,0.054
AQIR-NoGrad,mrifnl,4x4,30.181,0.961,0.887,0.039
AQIR-FixedRot,mrifnl,4x4,8.944,-0.089,0.887,1.089
AQIR-Deep,mrifnl,4x4,24.333,0.879,0.887,0.121
AQIR-ADS,mrifnl,2x2,45.121,0.974,0.98,0.026
AQIR-NoGrad,mrifnl,2x2,54.151,0.998,0.98,0.002
AQIR-FixedRot,mrifnl,2x2,9.211,0.474,0.98,0.526
AQIR-Deep,mrifnl,2x2,40.534,0.93,0.98,0.07
AQIR-ADS,mrifnl,4x4,30.331,0.974,0.887,0.026
AQIR-NoGrad,mrifnl,4x4,29.989,0.959,0.887,0.041
AQIR-FixedRot,mrifnl,4x4,9.063,0.134,0.887,0.866
AQIR-Deep,mrifnl,4x4,24.32,0.881,0.887,0.119
AQIR-ADS,mrifnl,2x2,46.37,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,48.131,0.994,0.98,0.006
AQIR-FixedRot,mrifnl,2x2,9.508,0.284,0.98,0.716
AQIR-Deep,mrifnl,2x2,37.817,0.944,0.98,0.056
AQIR-ADS,mrifnl,4x4,30.445,0.958,0.887,0.042
