Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-NoGrad,braintumor,2x2,46.37,0.981,0.98,0.019
AQIR-FixedRot,braintumor,2x2,8.9,0.472,0.98,0.528
AQIR-Deep,braintumor,2x2,43.012,0.964,0.98,0.036
AQIR-ADS,braintumor,4x4,29.053,0.954,0.887,0.046
AQIR-NoGrad,braintumor,4x4,31.515,0.963,0.887,0.037
AQIR-FixedRot,braintumor,4x4,8.321,0.088,0.887,0.912
AQIR-Deep,braintumor,4x4,24.049,0.866,0.887,0.134
AQIR-ADS,braintumor,2x2,44.151,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,42.39,0.989,0.98,0.011
AQIR-FixedRot,braintumor,2x2,8.391,0.369,0.98,0.631
AQIR-Deep,braintumor,2x2,44.151,0.981,0.98,0.019
AQIR-ADS,braintumor,4x4,29.238,0.936,0.887,0.064
AQIR-NoGrad,braintumor,4x4,29.08,0.893,0.887,0.107
AQIR-FixedRot,braintumor,4x4,8.337,0.039,0.887,0.961
AQIR-Deep,braintumor,4x4,25.484,0.846,0.887,0.154
AQIR-ADS,braintumor,2x2,44.609,0.99,0.98,0.01
AQIR-NoGrad,braintumor,2x2,51.141,0.993,0.98,0.007
AQIR-FixedRot,braintumor,2x2,8.78,0.429,0.98,0.571
AQIR-Deep,braintumor,2x2,42.39,0.959,0.98,0.041
AQIR-ADS,braintumor,4x4,30.056,0.961,0.887,0.039
AQIR-NoGrad,braintumor,4x4,29.882,0.947,0.887,0.053
AQIR-FixedRot,braintumor,4x4,8.53,0.023,0.887,0.977
AQIR-Deep,braintumor,4x4,25.844,0.892,0.887,0.108
AQIR-ADS,braintumor,2x2,49.38,0.998,0.98,0.002
AQIR-NoGrad,braintumor,2x2,42.69,0.965,0.98,0.035
AQIR-FixedRot,braintumor,2x2,8.569,0.367,0.98,0.633
AQIR-Deep,braintumor,2x2,49.38,0.993,0.98,0.007
AQIR-ADS,braintumor,4x4,33.071,0.977,0.887,0.023
AQIR-NoGrad,braintumor,4x4,30.577,0.955,0.887,0.045
AQIR-FixedRot,braintumor,4x4,7.805,0.003,0.887,0.997
AQIR-Deep,braintumor,4x4,24.999,0.857,0.887,0.143
AQIR-ADS,braintumor,2x2,54.151,0.998,0.98,0.002
AQIR-NoGrad,braintumor,2x2,48.131,0.992,0.98,0.008
AQIR-FixedRot,braintumor,2x2,8.434,0.377,0.98,0.623
AQIR-Deep,braintumor,2x2,36.227,0.872,0.98,0.128
AQIR-ADS,braintumor,4x4,34.42,0.984,0.887,0.016
AQIR-NoGrad,braintumor,4x4,29.498,0.939,0.887,0.061
AQIR-FixedRot,braintumor,4x4,8.134,0.067,0.887,0.933
AQIR-Deep,braintumor,4x4,26.471,0.896,0.887,0.104
AQIR-ADS,braintumor,2x2,45.7,0.984,0.98,0.016
AQIR-NoGrad,braintumor,2x2,44.151,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.504,0.402,0.98,0.598
AQIR-Deep,braintumor,2x2,38.966,0.914,0.98,0.086
AQIR-ADS,braintumor,4x4,30.544,0.97,0.887,0.03
AQIR-NoGrad,braintumor,4x4,33.405,0.983,0.887,0.017
AQIR-FixedRot,braintumor,4x4,8.134,0.058,0.887,0.942
AQIR-Deep,braintumor,4x4,28.297,0.95,0.887,0.05
AQIR-ADS,braintumor,2x2,42.69,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,46.37,0.982,0.98,0.018
AQIR-FixedRot,braintumor,2x2,8.146,0.298,0.98,0.702
AQIR-Deep,braintumor,2x2,36.022,0.849,0.98,0.151
AQIR-ADS,braintumor,4x4,31.727,0.97,0.887,0.03
AQIR-NoGrad,braintumor,4x4,33.36,0.977,0.887,0.023
AQIR-FixedRot,braintumor,4x4,7.727,0.008,0.887,0.992
AQIR-Deep,braintumor,4x4,26.489,0.899,0.887,0.101
AQIR-ADS,braintumor,2x2,45.7,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,45.7,0.981,0.98,0.019
AQIR-FixedRot,braintumor,2x2,8.475,0.32,0.98,0.68
AQIR-Deep,braintumor,2x2,41.141,0.985,0.98,0.015
AQIR-ADS,braintumor,4x4,31.879,0.982,0.887,0.018
AQIR-NoGrad,braintumor,4x4,34.119,0.989,0.887,0.011
AQIR-FixedRot,braintumor,4x4,8.358,0.02,0.887,0.98
AQIR-Deep,braintumor,4x4,24.656,0.911,0.887,0.089
AQIR-ADS,braintumor,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,braintumor,2x2,54.151,0.997,0.98,0.003
AQIR-FixedRot,braintumor,2x2,7.419,0.249,0.98,0.751
AQIR-Deep,braintumor,2x2,37.619,0.865,0.98,0.135
AQIR-ADS,braintumor,4x4,37.118,0.987,0.887,0.013
AQIR-NoGrad,braintumor,4x4,30.992,0.95,0.887,0.05
AQIR-FixedRot,braintumor,4x4,7.051,-0.02,0.887,1.02
AQIR-Deep,braintumor,4x4,28.371,0.911,0.887,0.089
AQIR-ADS,braintumor,2x2,49.38,0.991,0.98,0.009
AQIR-NoGrad,braintumor,2x2,46.37,0.992,0.98,0.008
AQIR-FixedRot,braintumor,2x2,7.785,0.285,0.98,0.715
AQIR-Deep,braintumor,2x2,37.919,0.863,0.98,0.137
